,mac,vendor
2608,28:cf:e9:84:ff:92,"Apple, Inc"
2609,30:b4:9e:6f:90:09,"TP-Link Tech Co, Ltd"
2610,18:d6:c7:6b:87:72,"TP-Link Tech Co, Ltd"
2611,00:1e:a6:b6:74:b0,Best IT World (India) Pvt. Ltd
2612,10:7b:44:b5:ad:6c,ASUSTek Computer Inc
2613,ec:08:6b:8a:3c:24,"TP-Link Tech Co, Ltd"
2614,70:4f:57:da:31:5f,"TP-Link Tech Co, Ltd"
2615,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2617,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2618,00:1e:a6:b6:74:b0,Best IT World (India) Pvt. Ltd
2619,ec:08:6b:8a:3c:24,"TP-Link Tech Co, Ltd"
2620,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2622,a0:63:91:e9:00:d9,Netgear
2623,34:97:f6:51:74:08,ASUSTek Computer Inc
2624,98:de:d0:38:90:a2,"TP-Link Tech Co, Ltd"
2626,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2628,c8:e7:d8:d3:c4:24,"Mercury Communication Tech Co, Ltd"
2630,fc:f5:28:fe:ee:10,Zyxel Communications Corp
2631,34:97:f6:51:74:04,ASUSTek Computer Inc
2632,6c:c2:17:d8:87:5f,Hewlett Packard
2633,c8:67:5e:54:29:e6,"Extreme Networks, Inc"
2634,c8:67:5e:54:96:16,"Extreme Networks, Inc"
2635,c8:67:5e:54:29:e5,"Extreme Networks, Inc"
2636,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2637,fc:f5:28:fe:ee:10,Zyxel Communications Corp
2638,18:a6:f7:51:8c:04,"TP-Link Tech Co, Ltd"
2639,10:be:f5:d5:64:22,D-Link International
2640,c8:67:5e:54:93:94,"Extreme Networks, Inc"
2641,c8:67:5e:54:30:a6,"Extreme Networks, Inc"
2642,c8:67:5e:54:30:a4,"Extreme Networks, Inc"
2643,c8:67:5e:54:96:14,"Extreme Networks, Inc"
2644,c8:67:5e:54:93:96,"Extreme Networks, Inc"
2645,c8:67:5e:54:30:a5,"Extreme Networks, Inc"
2646,c8:67:5e:54:a3:95,"Extreme Networks, Inc"
2647,c8:67:5e:54:93:95,"Extreme Networks, Inc"
2648,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2649,34:97:f6:51:74:00,ASUSTek Computer Inc
2650,70:4f:57:5a:77:48,"TP-Link Tech Co, Ltd"
2651,34:97:f6:51:74:08,ASUSTek Computer Inc
2652,18:a6:f7:51:8c:04,"TP-Link Tech Co, Ltd"
2653,10:be:f5:d5:64:20,D-Link International
2655,20:6b:e7:8f:d0:f3,"TP-Link Tech Co, Ltd"
2656,70:4f:57:5a:77:48,"TP-Link Tech Co, Ltd"
2658,c8:67:5e:54:29:e4,"Extreme Networks, Inc"
2659,c8:67:5e:54:a3:94,"Extreme Networks, Inc"
2660,c8:67:5e:54:96:15,"Extreme Networks, Inc"
2661,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2662,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2663,34:97:f6:51:74:08,ASUSTek Computer Inc
2665,c8:67:5e:54:a3:94,"Extreme Networks, Inc"
2666,c8:67:5e:54:30:a6,"Extreme Networks, Inc"
2667,c8:67:5e:54:30:a4,"Extreme Networks, Inc"
2668,c8:67:5e:54:2a:a4,"Extreme Networks, Inc"
2669,c8:67:5e:54:2a:a6,"Extreme Networks, Inc"
2670,c8:67:5e:54:93:a6,"Extreme Networks, Inc"
2671,c8:67:5e:54:93:a4,"Extreme Networks, Inc"
2672,c8:67:5e:54:2a:94,"Extreme Networks, Inc"
2673,c8:67:5e:54:30:a5,"Extreme Networks, Inc"
2674,c8:67:5e:54:2a:a5,"Extreme Networks, Inc"
2676,c8:67:5e:54:93:a5,"Extreme Networks, Inc"
2677,c8:67:5e:54:2a:95,"Extreme Networks, Inc"
2678,34:97:f6:51:74:00,ASUSTek Computer Inc
2679,34:97:f6:51:74:04,ASUSTek Computer Inc
2680,c8:67:5e:54:2a:96,"Extreme Networks, Inc"
2681,c8:67:5e:54:2a:94,"Extreme Networks, Inc"
2682,c8:67:5e:54:29:e4,"Extreme Networks, Inc"
2683,c8:67:5e:54:2d:64,"Extreme Networks, Inc"
2684,c8:67:5e:54:29:e6,"Extreme Networks, Inc"
2685,c8:67:5e:54:2d:66,"Extreme Networks, Inc"
2686,c8:67:5e:54:a3:96,"Extreme Networks, Inc"
2687,c8:67:5e:54:30:96,"Extreme Networks, Inc"
2688,c8:67:5e:54:a3:a6,"Extreme Networks, Inc"
2689,c8:67:5e:54:28:14,"Extreme Networks, Inc"
2690,c8:67:5e:54:30:94,"Extreme Networks, Inc"
2691,c8:67:5e:54:28:16,"Extreme Networks, Inc"
2692,c8:67:5e:54:2d:65,"Extreme Networks, Inc"
2694,c8:67:5e:54:30:95,"Extreme Networks, Inc"
2695,c8:67:5e:54:28:15,"Extreme Networks, Inc"
2696,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2697,34:97:f6:51:74:04,ASUSTek Computer Inc
2698,c8:67:5e:54:93:95,"Extreme Networks, Inc"
2699,c8:67:5e:54:30:94,"Extreme Networks, Inc"
2700,c8:67:5e:54:93:94,"Extreme Networks, Inc"
2701,c8:67:5e:54:93:96,"Extreme Networks, Inc"
2703,c8:67:5e:54:96:16,"Extreme Networks, Inc"
2704,c8:67:5e:54:29:d6,"Extreme Networks, Inc"
2705,c8:67:5e:54:2d:54,"Extreme Networks, Inc"
2706,c8:67:5e:54:96:15,"Extreme Networks, Inc"
2709,6c:c2:17:d8:87:5f,Hewlett Packard
2710,c8:67:5e:54:95:e6,"Extreme Networks, Inc"
2711,c8:67:5e:54:95:e4,"Extreme Networks, Inc"
2712,c8:67:5e:54:29:d4,"Extreme Networks, Inc"
2713,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2714,c8:67:5e:54:95:d4,"Extreme Networks, Inc"
2715,c8:67:5e:54:95:d6,"Extreme Networks, Inc"
2716,c8:67:5e:54:96:14,"Extreme Networks, Inc"
2717,c8:67:5e:54:2d:a6,"Extreme Networks, Inc"
2718,c8:67:5e:54:2d:96,"Extreme Networks, Inc"
2719,c8:67:5e:54:2d:94,"Extreme Networks, Inc"
2720,c8:67:5e:54:95:e5,"Extreme Networks, Inc"
2721,c8:67:5e:54:29:d5,"Extreme Networks, Inc"
2722,c8:67:5e:54:95:d5,"Extreme Networks, Inc"
2723,c8:67:5e:54:2d:95,"Extreme Networks, Inc"
2724,c8:67:5e:54:96:15,"Extreme Networks, Inc"
2725,c8:67:5e:54:96:14,"Extreme Networks, Inc"
2727,94:46:96:2b:7d:3b,BaudTec Corp
2728,c8:67:5e:54:2d:95,"Extreme Networks, Inc"
2729,c8:67:5e:54:2d:a4,"Extreme Networks, Inc"
2730,c8:67:5e:54:2d:a5,"Extreme Networks, Inc"
2731,c8:67:5e:54:2d:94,"Extreme Networks, Inc"
2732,a0:63:91:e9:00:d8,Netgear
2733,20:6b:e7:8f:d0:f3,"TP-Link Tech Co, Ltd"
2735,00:2a:10:11:34:c4,"Cisco Systems, Inc"
2736,c0:62:6b:e5:54:3b,"Cisco Systems, Inc"
2738,b8:27:eb:87:bb:f2,Raspberry Pi Foundation
2739,40:5d:82:d6:c2:5e,Netgear
2740,ec:1f:72:77:59:75,Samsung Electro-Mechanics(Thailand)
2741,ec:08:6b:8a:3c:24,"TP-Link Tech Co, Ltd"
2742,c0:62:6b:e5:54:34,"Cisco Systems, Inc"
2743,44:e4:d9:85:be:8b,"Cisco Systems, Inc"
2744,00:2a:10:13:6c:2b,"Cisco Systems, Inc"
2745,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2746,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2747,b8:27:eb:87:bb:f2,Raspberry Pi Foundation
2748,00:2a:10:11:34:cb,"Cisco Systems, Inc"
2749,00:2a:10:13:6c:24,"Cisco Systems, Inc"
2750,00:20:b0:11:f9:a8,"Gateway Devices, Inc"
2751,00:20:b0:11:f9:a8,"Gateway Devices, Inc"
2752,00:2a:10:13:6c:24,"Cisco Systems, Inc"
2754,b8:27:eb:87:bb:f2,Raspberry Pi Foundation
2755,00:20:b0:11:f9:a8,"Gateway Devices, Inc"
2756,80:2a:a8:8a:13:a3,Ubiquiti Networks Inc
2758,00:19:5b:b0:d8:b0,D-Link Corp
2759,00:19:5b:b0:d8:b0,D-Link Corp
2760,00:2a:10:13:70:7b,"Cisco Systems, Inc"
2761,58:63:56:d7:9d:6c,FN-Link Tech Ltd
2762,00:2a:10:13:6c:0b,"Cisco Systems, Inc"
2763,f4:5e:ab:f8:cd:5a,Texas Instruments
2765,f4:5e:ab:f8:cd:5a,Texas Instruments
2766,00:2a:10:13:70:74,"Cisco Systems, Inc"
2767,00:2a:10:1a:fd:74,"Cisco Systems, Inc"
2768,00:19:5b:b0:d8:b0,D-Link Corp
2769,00:2a:10:13:6c:04,"Cisco Systems, Inc"
2770,00:2a:10:1a:fd:7b,"Cisco Systems, Inc"
2771,b8:27:eb:55:89:01,Raspberry Pi Foundation
2772,18:31:bf:06:80:90,ASUSTek Computer Inc
2773,00:19:5b:b0:d8:b0,D-Link Corp
2774,e8:65:49:04:6d:c4,"Cisco Systems, Inc"
2776,58:63:56:d7:9d:6c,FN-Link Tech Ltd
2777,f4:5e:ab:f8:cd:5a,Texas Instruments
2778,00:2a:10:1a:fd:74,"Cisco Systems, Inc"
2779,b8:27:eb:55:89:01,Raspberry Pi Foundation
2781,00:2a:10:13:6c:04,"Cisco Systems, Inc"
2782,00:2a:10:11:34:c4,"Cisco Systems, Inc"
2783,00:2a:10:13:6c:0b,"Cisco Systems, Inc"
2784,b4:30:52:b4:97:89,"Huawei Tech Co, Ltd"
2785,00:19:5b:b0:d8:b0,D-Link Corp
2786,18:31:bf:06:80:90,ASUSTek Computer Inc
2788,e8:65:49:04:93:eb,"Cisco Systems, Inc"
2789,e8:65:49:38:c9:cb,"Cisco Systems, Inc"
2791,80:2a:a8:8a:13:a3,Ubiquiti Networks Inc
2792,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2793,b0:e1:7e:a6:f3:86,"Huawei Tech Co, Ltd"
2794,00:20:b0:11:f9:a8,"Gateway Devices, Inc"
2796,bc:30:7e:07:e0:f1,Wistron Neweb Corp
2797,40:5d:82:d6:c2:5e,Netgear
2799,64:a2:f9:0e:da:7f,"OnePlus Tech (Shenzhen) Co, Ltd"
2800,b0:e1:7e:a6:f3:86,"Huawei Tech Co, Ltd"
2801,b4:30:52:b4:97:89,"Huawei Tech Co, Ltd"
2802,84:3d:c6:05:f1:c4,"Cisco Systems, Inc"
2803,00:2a:10:11:35:74,"Cisco Systems, Inc"
2804,00:19:5b:b0:d8:b0,D-Link Corp
2805,a8:9d:21:da:31:44,"Cisco Systems, Inc"
2806,00:19:5b:b0:d8:b0,D-Link Corp
2807,00:2a:10:f4:91:84,"Cisco Systems, Inc"
2808,e8:65:49:04:6d:c4,"Cisco Systems, Inc"
2809,64:66:b3:94:7e:96,"TP-Link Tech Co, Ltd"
2810,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2811,00:19:5b:b0:d8:b0,D-Link Corp
2812,b0:e1:7e:a6:f3:86,"Huawei Tech Co, Ltd"
2813,b4:30:52:b4:97:89,"Huawei Tech Co, Ltd"
2814,a8:9d:21:da:31:44,"Cisco Systems, Inc"
2815,00:2a:10:f4:91:84,"Cisco Systems, Inc"
2816,e8:65:49:04:6d:c4,"Cisco Systems, Inc"
2817,64:66:b3:94:7e:96,"TP-Link Tech Co, Ltd"
2818,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2819,00:20:b0:11:f9:a8,"Gateway Devices, Inc"
2820,64:66:b3:94:7e:96,"TP-Link Tech Co, Ltd"
2821,00:1a:dd:e8:47:24,PePWave Ltd
2822,e4:aa:5d:14:92:74,"Cisco Systems, Inc"
2823,00:1c:f0:5e:e2:6d,D-Link Corp
2824,00:1a:dd:e8:47:24,PePWave Ltd
2825,64:66:b3:94:7e:96,"TP-Link Tech Co, Ltd"
2826,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2827,10:9a:dd:8a:ab:d1,"Apple, Inc"
2828,e8:8d:28:5e:e1:45,"Apple, Inc"
2829,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2830,00:81:c4:73:e3:8b,"Cisco Systems, Inc"
2831,64:66:b3:94:7e:96,"TP-Link Tech Co, Ltd"
2832,00:1a:dd:e8:47:24,PePWave Ltd
2833,b0:e1:7e:a6:dc:bb,"Huawei Tech Co, Ltd"
2834,b0:e1:7e:a6:f3:86,"Huawei Tech Co, Ltd"
2835,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2836,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2837,00:11:95:3c:cc:1f,D-Link Corp
2838,54:b1:21:8a:be:39,"Huawei Tech Co, Ltd"
2839,18:a6:f7:51:8c:04,"TP-Link Tech Co, Ltd"
2841,fc:f5:28:fe:ee:10,Zyxel Communications Corp
2842,a0:63:91:e9:00:d8,Netgear
2843,90:f6:52:97:73:38,"TP-Link Tech Co, Ltd"
2844,70:4f:57:5a:77:48,"TP-Link Tech Co, Ltd"
2845,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2846,20:6b:e7:8f:d0:f3,"TP-Link Tech Co, Ltd"
2847,a0:63:91:e9:00:d8,Netgear
2848,70:4f:57:5a:77:48,"TP-Link Tech Co, Ltd"
2849,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2850,20:6b:e7:02:5e:00,"TP-Link Tech Co, Ltd"
2851,ec:08:6b:8a:3c:24,"TP-Link Tech Co, Ltd"
2852,f4:28:53:10:21:10,Zioncom Electronics (Shenzhen) Ltd
2854,70:4f:57:5a:77:48,"TP-Link Tech Co, Ltd"
2858,58:63:56:d7:c6:3a,FN-Link Tech Ltd
2859,64:a2:f9:0e:da:7f,"OnePlus Tech (Shenzhen) Co, Ltd"
2860,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2861,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2862,a0:63:91:e9:00:d9,Netgear
2864,a0:63:91:e9:00:d8,Netgear
2865,c8:67:5e:54:a3:94,"Extreme Networks, Inc"
2866,c8:67:5e:54:2d:56,"Extreme Networks, Inc"
2867,c8:67:5e:54:a3:95,"Extreme Networks, Inc"
2868,c8:67:5e:54:2d:55,"Extreme Networks, Inc"
2869,98:fc:11:78:8e:1c,"Cisco-Linksys, Llc"
2871,58:63:56:d7:c4:c3,FN-Link Tech Ltd
2872,20:6b:e7:8f:d0:f3,"TP-Link Tech Co, Ltd"
2873,58:63:56:d7:c4:c3,FN-Link Tech Ltd
2874,98:fc:11:78:8e:1c,"Cisco-Linksys, Llc"
2875,b0:95:8e:61:8b:d9,"TP-Link Tech Co, Ltd"
2876,58:63:56:ee:f9:fb,FN-Link Tech Ltd
2877,98:de:d0:38:90:a3,"TP-Link Tech Co, Ltd"
2878,58:63:56:ee:f9:fb,FN-Link Tech Ltd
2879,84:38:38:62:af:72,Samsung Electro-Mechanics(Thailand)
2881,a0:63:91:e9:00:d9,Netgear
2882,20:6b:e7:8f:d0:f3,"TP-Link Tech Co, Ltd"
2883,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2884,34:21:09:25:9f:c8,Jensen Scandinavia AS
2885,84:9f:b5:f4:9b:76,"Huawei Tech Co, Ltd"
2886,38:1d:d9:82:e1:f9,FN-Link Tech Ltd
2887,48:f8:b3:d4:c3:9f,"Cisco-Linksys, Llc"
2888,00:02:cf:8d:9b:9e,"ZyGate Communications, Inc"
2889,fc:f5:28:fe:ee:10,Zyxel Communications Corp
2890,10:bf:48:d3:9c:ed,ASUSTek Computer Inc
2891,10:bf:48:d3:9c:ec,ASUSTek Computer Inc
2892,18:a6:f7:51:8c:04,"TP-Link Tech Co, Ltd"
2893,34:08:04:08:ef:5c,D-Link Corp
2894,9c:d6:43:c7:c8:8c,D-Link International
2895,10:bf:48:d3:9c:e8,ASUSTek Computer Inc
2896,14:a5:1a:b1:5a:58,"Huawei Tech Co, Ltd"
2897,58:63:56:d7:c6:3a,FN-Link Tech Ltd
2898,00:2a:10:1a:fc:cb,"Cisco Systems, Inc"
2899,10:62:eb:99:0c:44,D-Link International
2900,00:27:0d:8b:4f:43,"Cisco Systems, Inc"
2901,14:dd:a9:c9:73:e8,ASUSTek Computer Inc
2902,00:02:cf:8d:9b:9e,"ZyGate Communications, Inc"
2903,14:dd:a9:c9:73:e8,ASUSTek Computer Inc
2904,d8:30:62:36:d2:75,"Apple, Inc"
2905,10:bf:48:d3:9c:ed,ASUSTek Computer Inc
2906,00:27:0d:8b:4f:40,"Cisco Systems, Inc"
2907,00:27:0d:8b:4f:41,"Cisco Systems, Inc"
2908,00:27:0d:48:b5:62,"Cisco Systems, Inc"
2909,00:27:0d:8b:4f:4f,"Cisco Systems, Inc"
2910,10:c3:7b:c5:d1:5c,ASUSTek Computer Inc
2911,00:27:0d:8b:4f:44,"Cisco Systems, Inc"
2912,14:dd:a9:c9:73:e8,ASUSTek Computer Inc
2913,00:27:0d:8b:4f:40,"Cisco Systems, Inc"
2914,00:27:0d:8b:4f:44,"Cisco Systems, Inc"
2915,00:27:0d:8b:4f:43,"Cisco Systems, Inc"
2916,00:2a:10:1a:fc:c4,"Cisco Systems, Inc"
2917,00:27:0d:8b:4f:42,"Cisco Systems, Inc"
2918,bc:67:1c:1f:1e:a4,"Cisco Systems, Inc"
2919,10:bf:48:d3:9c:e8,ASUSTek Computer Inc
2920,20:4e:7f:0f:91:39,Netgear
2921,9c:d6:43:c7:c8:8c,D-Link International
2922,14:dd:a9:c9:73:ec,ASUSTek Computer Inc
2924,9c:d6:43:c7:c8:8e,D-Link International
2925,6c:aa:b3:07:19:38,Ruckus Wireless
2926,6c:aa:b3:47:19:37,Ruckus Wireless
2927,6c:aa:b3:07:19:3c,Ruckus Wireless
2928,78:8a:20:87:b6:e0,Ubiquiti Networks Inc
2929,10:bf:48:d3:9c:e9,ASUSTek Computer Inc
2931,8c:0d:76:20:a8:f4,"Huawei Tech Co, Ltd"
2932,10:be:f5:d9:d2:04,D-Link International
2933,00:27:0d:8b:4f:4b,"Cisco Systems, Inc"
2934,20:4e:7f:0f:91:39,Netgear
2935,34:21:09:25:9f:c8,Jensen Scandinavia AS
2936,20:4e:7f:0f:91:3a,Netgear
2937,34:08:04:08:ef:5c,D-Link Corp
2939,00:26:f2:13:3a:0e,Netgear
2940,64:a5:c3:6b:55:06,"Apple, Inc"
2941,48:f8:b3:d4:c3:9f,"Cisco-Linksys, Llc"
2942,10:bf:48:d3:9c:ec,ASUSTek Computer Inc
2943,10:bf:48:d3:9c:e8,ASUSTek Computer Inc
2944,6c:aa:b3:07:19:38,Ruckus Wireless
2945,10:bf:48:d3:9c:e9,ASUSTek Computer Inc
2946,6c:aa:b3:47:19:33,Ruckus Wireless
2947,e0:5f:b9:0c:73:a1,"Cisco Systems, Inc"
2949,10:c3:7b:c5:d1:58,ASUSTek Computer Inc
2951,14:91:82:1a:f5:84,Belkin International Inc
2952,6c:aa:b3:07:19:38,Ruckus Wireless
2953,6c:aa:b3:47:19:37,Ruckus Wireless
2954,6c:aa:b3:07:19:3c,Ruckus Wireless
2956,6c:aa:b3:47:19:33,Ruckus Wireless
2957,e4:6f:13:39:bb:b2,D-Link International
2958,90:72:40:17:57:62,"Apple, Inc"
2959,b4:75:0e:fa:02:fc,Belkin International Inc
2961,50:a7:2b:8b:a0:64,"Huawei Tech Co, Ltd"
2962,58:6d:8f:2c:75:40,"Cisco-Linksys, Llc"
2963,00:27:0d:8b:4f:54,"Cisco Systems, Inc"
2964,90:72:40:17:57:62,"Apple, Inc"
2966,10:c3:7b:c5:d1:5c,ASUSTek Computer Inc
2967,10:c3:7b:c5:d1:58,ASUSTek Computer Inc
2968,00:2a:10:1a:fa:bb,"Cisco Systems, Inc"
2969,34:21:09:25:9f:cc,Jensen Scandinavia AS
2970,00:27:0d:8b:4f:52,"Cisco Systems, Inc"
2971,00:27:0d:8b:4f:50,"Cisco Systems, Inc"
2972,bc:f6:85:c0:92:6c,D-Link International
2974,00:2a:10:1a:fa:bb,"Cisco Systems, Inc"
2975,34:21:09:25:9f:cc,Jensen Scandinavia AS
2976,10:bf:48:d3:9c:ed,ASUSTek Computer Inc
2977,b4:75:0e:fa:02:fd,Belkin International Inc
2978,00:27:0d:8b:4e:b0,"Cisco Systems, Inc"
2980,a4:5d:36:1b:92:9f,Hewlett Packard
2981,14:dd:a9:c9:73:e8,ASUSTek Computer Inc
2982,b4:75:0e:fa:02:fc,Belkin International Inc
2984,bc:f6:85:c0:92:6c,D-Link International
2985,a4:5d:36:1b:92:9f,Hewlett Packard
2986,00:27:0d:8b:4e:b1,"Cisco Systems, Inc"
2987,f8:3d:ff:e8:a8:36,"Huawei Tech Co, Ltd"
2988,00:26:f2:13:3a:0e,Netgear
2989,14:dd:a9:c9:73:ec,ASUSTek Computer Inc
2990,00:3a:99:2b:ed:53,"Cisco Systems, Inc"
2991,58:6d:8f:2c:75:40,"Cisco-Linksys, Llc"
2992,a4:5d:36:43:9c:88,Hewlett Packard
2993,00:27:0d:8b:49:22,"Cisco Systems, Inc"
2994,80:37:73:f7:f0:b0,Netgear
2995,28:37:37:43:fb:2e,"Apple, Inc"
2996,90:72:40:21:ff:e6,"Apple, Inc"
2997,a0:04:60:e6:a6:ac,Netgear
2998,34:21:09:19:0f:e0,Jensen Scandinavia AS
2999,00:27:0d:48:b5:64,"Cisco Systems, Inc"
3000,00:27:0d:8b:49:24,"Cisco Systems, Inc"
3001,00:27:0d:8b:49:2b,"Cisco Systems, Inc"
3002,bc:f6:85:c0:92:6c,D-Link International
3003,14:dd:a9:c9:73:ec,ASUSTek Computer Inc
3004,a0:04:60:e6:a6:ac,Netgear
3005,00:2a:10:1a:fa:b4,"Cisco Systems, Inc"
3006,00:3a:99:2b:ed:55,"Cisco Systems, Inc"
3007,00:27:0d:48:b5:61,"Cisco Systems, Inc"
3008,00:3a:99:2b:ed:52,"Cisco Systems, Inc"
3009,00:27:0d:8b:49:2d,"Cisco Systems, Inc"
3010,14:91:82:1a:f5:84,Belkin International Inc
3011,00:27:0d:8b:49:2e,"Cisco Systems, Inc"
3012,00:3a:99:2b:ed:51,"Cisco Systems, Inc"
3013,00:27:0d:8b:49:2c,"Cisco Systems, Inc"
3014,70:62:b8:62:a3:c0,D-Link International
3015,00:27:0d:8b:49:23,"Cisco Systems, Inc"
3016,2c:41:38:f1:3b:b0,Hewlett Packard
3018,48:f8:b3:d4:c3:9f,"Cisco-Linksys, Llc"
3019,10:bf:48:d3:9c:ec,ASUSTek Computer Inc
3020,10:bf:48:d3:9c:e8,ASUSTek Computer Inc
3021,34:21:09:25:9f:c8,Jensen Scandinavia AS
3022,10:bf:48:d3:9c:e9,ASUSTek Computer Inc
3023,34:08:04:08:ef:5c,D-Link Corp
3024,84:9f:b5:f4:9b:76,"Huawei Tech Co, Ltd"
3025,e0:5f:b9:0c:73:a1,"Cisco Systems, Inc"
3026,00:27:0d:8a:eb:a2,"Cisco Systems, Inc"
3027,00:27:0d:8a:eb:a0,"Cisco Systems, Inc"
3028,00:27:0d:8a:eb:a3,"Cisco Systems, Inc"
3029,b8:c7:5d:0b:33:69,"Apple, Inc"
3030,08:02:8e:99:e4:12,Netgear
3031,10:da:43:08:b7:5a,Netgear
3032,dc:ef:09:b2:d3:ce,Netgear
3033,b8:c7:5d:0b:33:6a,"Apple, Inc"
3034,00:27:0d:8b:50:a3,"Cisco Systems, Inc"
3035,00:27:0d:8b:50:a1,"Cisco Systems, Inc"
3036,00:27:0d:8a:eb:a4,"Cisco Systems, Inc"
3037,00:27:0d:8b:50:a4,"Cisco Systems, Inc"
3039,a0:04:60:e6:a6:ac,Netgear
3040,70:62:b8:62:a3:c0,D-Link International
3041,2c:41:38:f1:3b:b0,Hewlett Packard
3042,08:02:8e:99:e4:12,Netgear
3043,10:da:43:08:b7:5a,Netgear
3044,b8:c7:5d:0b:33:6a,"Apple, Inc"
3045,28:c6:8e:6e:39:a2,Netgear
3046,9c:3d:cf:69:01:6e,Netgear
3047,a0:04:60:a1:fe:cc,Netgear
3048,1c:7e:e5:4b:12:8e,D-Link International
3049,a0:04:60:a1:fe:c8,Netgear
3050,94:10:3e:93:c9:9b,Belkin International Inc
3051,20:4e:7f:5a:df:81,Netgear
3052,20:4e:7f:6e:cd:18,Netgear
3053,6c:19:8f:cc:29:b0,D-Link International
3055,00:27:0d:8a:eb:a1,"Cisco Systems, Inc"
3056,dc:ef:09:b2:d3:cd,Netgear
3057,20:4e:7f:5a:df:83,Netgear
3058,e0:91:f5:db:56:24,Netgear
3059,9c:3d:cf:69:01:70,Netgear
3060,00:27:0d:8a:eb:ac,"Cisco Systems, Inc"
3061,00:27:0d:8b:4f:73,"Cisco Systems, Inc"
3062,00:27:0d:8a:eb:af,"Cisco Systems, Inc"
3063,00:27:0d:8b:50:ad,"Cisco Systems, Inc"
3064,28:c6:8e:6e:39:a1,Netgear
3065,00:27:0d:8a:eb:ad,"Cisco Systems, Inc"
3066,74:da:da:4a:51:be,D-Link International
3067,58:6d:8f:36:ec:da,"Cisco-Linksys, Llc"
3068,00:24:a8:b5:40:b0,ProCurve Networking by HP
3069,70:62:b8:62:a3:c2,D-Link International
3070,00:02:61:61:d1:38,Tilgin AB
3071,00:27:0d:8b:50:a2,"Cisco Systems, Inc"
3072,58:6d:8f:4a:bf:dc,"Cisco-Linksys, Llc"
3073,e0:91:f5:a6:34:f8,Netgear
3074,00:27:0d:8b:4f:72,"Cisco Systems, Inc"
3075,00:27:0d:8b:50:af,"Cisco Systems, Inc"
3076,00:27:0d:8b:4d:7d,"Cisco Systems, Inc"
3077,00:27:0d:8b:4d:7f,"Cisco Systems, Inc"
3078,00:27:0d:8b:4d:7c,"Cisco Systems, Inc"
3079,00:11:6b:18:4c:f6,"Digital Data Communications Asia Co, Ltd"
3080,00:27:0d:8b:50:a0,"Cisco Systems, Inc"
3081,00:27:0d:8b:4f:7f,"Cisco Systems, Inc"
3082,a0:ab:1b:f2:e2:4a,D-Link International
3083,00:27:0d:8b:4f:7c,"Cisco Systems, Inc"
3084,14:91:82:8d:01:44,Belkin International Inc
3085,90:94:e4:39:d2:74,D-Link International
3086,a0:40:a0:8a:d8:70,Netgear
3087,00:17:3f:5d:dd:cf,Belkin International Inc
3088,00:27:0d:8a:eb:ab,"Cisco Systems, Inc"
3089,00:27:0d:8b:4d:7b,"Cisco Systems, Inc"
3090,08:02:8e:99:e4:12,Netgear
3091,10:da:43:08:b7:5a,Netgear
3092,b8:c7:5d:0b:33:6a,"Apple, Inc"
3093,20:4e:7f:5a:df:81,Netgear
3094,6c:19:8f:cc:29:b0,D-Link International
3096,20:4e:7f:5a:df:83,Netgear
3097,e0:91:f5:db:56:24,Netgear
3098,00:27:0d:8b:50:a2,"Cisco Systems, Inc"
3099,00:27:0d:8b:4f:72,"Cisco Systems, Inc"
3100,00:27:0d:8b:50:a0,"Cisco Systems, Inc"
3101,00:27:0d:8b:4f:7f,"Cisco Systems, Inc"
3102,00:27:0d:8b:4f:7c,"Cisco Systems, Inc"
3103,00:17:3f:5d:dd:cf,Belkin International Inc
3104,00:27:0d:8b:50:a3,"Cisco Systems, Inc"
3105,00:27:0d:8b:50:a1,"Cisco Systems, Inc"
3106,00:27:0d:8b:4f:70,"Cisco Systems, Inc"
